age,genre,region,zone_urbaine,profession_type,profession_detail,revenu_mensuel,anciennete_emploi,montant_credit,duree_credit,historique_credit_mois,defaut_anterieur,mobile_money,garantie,education,situation_matrimoniale,personnes_charge,defaut_paiement
39,M,Dakar,1,Fonctionnaire,Justice,651933,18,8393194,6,5,0,1,Salaire,Secondaire,Marié(e),1,0
53,M,Kaolack,0,Fonctionnaire,Administration,371857,31,1565197,18,36,0,1,Véhicule,Secondaire,Marié(e),0,0
34,M,Diourbel,1,Fonctionnaire,Santé,239218,11,789968,24,16,0,1,Salaire,Supérieur,Marié(e),5,0
53,F,Saint-Louis,1,Commerçant,Artisanat,1190010,32,3450857,24,5,0,1,Véhicule,Primaire,Marié(e),1,1
18,M,Dakar,1,Fonctionnaire,Douanes,606933,0,6120638,24,0,0,1,Immobilier,Secondaire,Célibataire,3,0
44,M,Saint-Louis,1,Commerçant,Bétail/Volaille,354631,8,4988369,18,15,0,0,Caution,Primaire,Marié(e),3,0
36,F,Dakar,1,Fonctionnaire,Impôts,496631,9,5188721,12,32,0,0,Salaire,Primaire,Marié(e),2,0
31,M,Dakar,1,Fonctionnaire,Administration,467455,10,4439757,18,10,0,0,Véhicule,Supérieur,Célibataire,3,0
36,M,Saint-Louis,1,Commerçant,Restauration,201525,13,1036707,48,6,0,1,Caution,Secondaire,Marié(e),3,0
18,M,Thiès,1,Commerçant,Artisanat,417526,0,7155214,6,0,0,1,Caution,Secondaire,Marié(e),2,0
32,M,Matam,1,Commerçant,Artisanat,348182,9,2749241,18,76,0,0,Stock,Secondaire,Marié(e),2,0
39,F,Saint-Louis,1,Fonctionnaire,Justice,183052,17,2715418,12,13,0,1,Immobilier,Primaire,Marié(e),1,0
52,F,Ziguinchor,1,Commerçant,Commerce général,718543,31,6414749,6,7,0,1,Immobilier,Primaire,Célibataire,3,0
28,M,Kaolack,0,Commerçant,Vente tissus,1110434,6,7477759,18,20,0,1,Immobilier,Secondaire,Marié(e),3,0
25,F,Kolda,1,Fonctionnaire,Justice,318985,4,4379986,24,39,1,1,Immobilier,Supérieur,Marié(e),4,0
28,M,Thiès,0,Commerçant,Transport,284328,5,3472627,18,0,0,1,Caution,Secondaire,Marié(e),0,0
45,M,Matam,0,Commerçant,Commerce général,254980,17,3822993,6,19,0,1,Stock,Secondaire,Marié(e),2,1
38,M,Kaolack,1,Fonctionnaire,Administration,258894,1,2045465,18,43,0,1,Salaire,Secondaire,Marié(e),4,0
28,M,Kaffrine,1,Commerçant,Alimentaire,743684,1,13359895,12,5,0,0,Immobilier,Primaire,Marié(e),0,0
41,M,Thiès,1,Fonctionnaire,Administration,603209,8,8452588,12,61,0,1,Véhicule,Secondaire,Marié(e),3,0
36,F,Dakar,1,Commerçant,Restauration,1434117,15,14143033,12,20,0,1,Caution,Secondaire,Marié(e),6,0
46,F,Kolda,1,Commerçant,Transport,731241,22,4630970,36,17,0,1,Véhicule,Secondaire,Célibataire,0,0
26,M,Dakar,1,Commerçant,Cosmétiques,800328,5,10930947,6,79,0,1,Stock,Primaire,Marié(e),3,0
31,M,Diourbel,1,Commerçant,Vente tissus,1022108,4,19606605,12,3,0,1,Immobilier,Primaire,Célibataire,4,0
30,F,Dakar,1,Fonctionnaire,Justice,615252,4,6441293,12,32,0,1,Salaire,Primaire,Célibataire,1,1
18,F,Tambacounda,1,Fonctionnaire,Administration,224208,0,3239955,24,0,0,1,Salaire,Supérieur,Marié(e),3,1
38,F,Sédhiou,1,Commerçant,Artisanat,502763,16,4116896,24,16,0,1,Stock,Primaire,Marié(e),1,0
38,M,Diourbel,0,Commerçant,Bétail/Volaille,494750,17,9138736,24,0,1,1,Stock,Secondaire,Marié(e),4,1
35,F,Kaffrine,0,Commerçant,Restauration,870179,13,3503517,24,17,0,1,Stock,Supérieur,Célibataire,0,0
32,M,Diourbel,1,Commerçant,Commerce général,505040,1,4272143,12,3,0,1,Immobilier,Secondaire,Marié(e),2,0
18,M,Diourbel,1,Commerçant,Alimentaire,857948,0,9352046,36,0,0,1,Immobilier,Primaire,Marié(e),3,1
29,M,Matam,1,Fonctionnaire,Enseignant,438269,8,4749663,18,32,0,1,Salaire,Primaire,Marié(e),0,0
30,M,Louga,1,Commerçant,Restauration,347330,9,2533600,6,18,1,1,Stock,Secondaire,Marié(e),3,1
25,M,Fatick,0,Commerçant,Vente tissus,275851,4,5140844,24,23,0,1,Stock,Secondaire,Marié(e),2,1
33,M,Thiès,0,Commerçant,Vêtements,855481,1,15623591,24,2,0,1,Véhicule,Secondaire,Marié(e),0,1
39,M,Kaolack,0,Commerçant,Artisanat,529763,11,8681787,6,2,0,1,Stock,Supérieur,Célibataire,0,0
57,F,Dakar,1,Fonctionnaire,Justice,663751,34,2902151,48,45,0,1,Salaire,Primaire,Célibataire,2,0
37,M,Saint-Louis,1,Commerçant,Électronique,1951672,13,6653712,18,1,0,0,Immobilier,Secondaire,Marié(e),3,0
38,M,Diourbel,0,Commerçant,Bétail/Volaille,516259,13,5661485,18,8,0,1,Stock,Secondaire,Marié(e),4,1
34,M,Kaffrine,1,Commerçant,Vente tissus,431130,13,6801587,12,66,0,0,Caution,Supérieur,Marié(e),1,0
18,F,Louga,1,Fonctionnaire,Administration,400907,0,1795594,12,0,1,1,Salaire,Secondaire,Marié(e),4,0
34,M,Saint-Louis,1,Commerçant,Restauration,339795,11,4602820,48,26,0,1,Stock,Secondaire,Marié(e),4,1
35,M,Dakar,1,Fonctionnaire,Police/Gendarmerie,673161,14,6283462,24,6,0,1,Salaire,Secondaire,Marié(e),3,0
64,M,Kédougou,1,Commerçant,Restauration,302060,42,4551382,18,7,0,1,Stock,Primaire,Marié(e),4,0
32,F,Dakar,1,Fonctionnaire,Douanes,456941,9,3758112,24,17,0,1,Salaire,Secondaire,Marié(e),4,0
38,F,Tambacounda,0,Fonctionnaire,Impôts,471267,16,5334534,36,24,0,1,Salaire,Primaire,Marié(e),4,0
34,M,Dakar,1,Commerçant,Transport,1837321,10,8953184,24,77,0,1,Immobilier,Supérieur,Marié(e),1,0
20,M,Saint-Louis,1,Fonctionnaire,Collectivités locales,235419,1,1312491,6,20,0,0,Immobilier,Supérieur,Marié(e),2,1
48,F,Sédhiou,0,Fonctionnaire,Douanes,175816,23,2433294,24,2,0,1,Salaire,Secondaire,Célibataire,0,0
44,M,Dakar,1,Commerçant,Restauration,503299,20,3990532,18,10,0,1,Immobilier,Primaire,Célibataire,3,1
44,F,Saint-Louis,1,Commerçant,Vêtements,476720,21,9410025,48,6,0,1,Aucune,Secondaire,Marié(e),2,1
24,M,Thiès,1,Fonctionnaire,Douanes,316445,3,1124789,24,7,0,0,Salaire,Secondaire,Marié(e),1,0
51,M,Louga,0,Fonctionnaire,Collectivités locales,241183,29,2158710,12,16,0,1,Salaire,Primaire,Célibataire,2,0
18,M,Kédougou,1,Fonctionnaire,Enseignant,314463,0,2169746,6,0,0,1,Véhicule,Secondaire,Marié(e),3,1
42,M,Dakar,1,Fonctionnaire,Collectivités locales,249125,13,3724812,18,8,0,1,Salaire,Primaire,Marié(e),1,0
61,F,Dakar,1,Fonctionnaire,Douanes,751071,33,11176249,24,82,0,1,Véhicule,Secondaire,Célibataire,1,0
23,F,Tambacounda,0,Fonctionnaire,Justice,220071,2,1281455,12,21,0,1,Salaire,Secondaire,Marié(e),3,0
28,M,Thiès,1,Commerçant,Commerce général,418454,2,2849932,24,7,0,1,Stock,Secondaire,Marié(e),5,1
36,F,Kolda,0,Commerçant,Transport,329667,12,5107893,36,7,1,0,Stock,Secondaire,Marié(e),1,1
28,M,Dakar,1,Fonctionnaire,Administration,378360,1,5174486,12,39,0,1,Immobilier,Secondaire,Marié(e),1,0
18,M,Dakar,1,Commerçant,Commerce général,608696,0,8489206,24,0,0,1,Immobilier,Secondaire,Marié(e),1,1
35,M,Kolda,0,Commerçant,Vêtements,171874,11,3018925,6,27,0,0,Stock,Secondaire,Célibataire,3,0
22,F,Dakar,1,Fonctionnaire,Impôts,530911,1,1995964,6,13,0,1,Caution,Primaire,Divorcé(e),2,0
40,F,Kédougou,0,Commerçant,Transport,221744,19,3000088,6,34,0,0,Caution,Secondaire,Marié(e),3,0
23,F,Dakar,1,Commerçant,Alimentaire,365783,2,5341556,24,60,0,1,Caution,Primaire,Marié(e),2,0
53,F,Dakar,1,Commerçant,Commerce général,1102650,32,5982695,48,4,0,1,Véhicule,Supérieur,Marié(e),1,0
25,F,Sédhiou,0,Fonctionnaire,Administration,393833,3,4858183,24,47,0,1,Salaire,Supérieur,Marié(e),2,0
31,F,Saint-Louis,0,Fonctionnaire,Justice,355830,10,5099464,12,45,0,1,Salaire,Secondaire,Marié(e),2,0
44,F,Kolda,1,Commerçant,Cosmétiques,548474,20,9962150,6,10,0,1,Caution,Primaire,Marié(e),2,0
20,F,Dakar,1,Commerçant,Transport,275553,1,1766133,24,8,0,1,Caution,Secondaire,Divorcé(e),6,1
37,M,Tambacounda,0,Commerçant,Artisanat,287948,6,2255170,6,19,0,1,Stock,Supérieur,Marié(e),2,1
50,M,Ziguinchor,0,Commerçant,Artisanat,849161,28,9334830,24,7,0,1,Stock,Primaire,Marié(e),4,0
18,M,Thiès,1,Commerçant,Électronique,414606,0,2011046,12,0,0,0,Stock,Secondaire,Marié(e),6,0
37,M,Kaffrine,1,Commerçant,Transport,555841,14,10656115,12,73,0,1,Immobilier,Primaire,Célibataire,0,0
38,M,Tambacounda,0,Commerçant,Cosmétiques,877665,15,4308228,12,16,0,1,Stock,Supérieur,Marié(e),4,1
44,M,Saint-Louis,1,Commerçant,Alimentaire,634361,20,9963028,24,15,1,1,Stock,Supérieur,Marié(e),2,1
20,F,Kaolack,0,Commerçant,Cosmétiques,510086,1,4155010,12,3,0,1,Immobilier,Secondaire,Célibataire,2,0
19,M,Kaolack,1,Fonctionnaire,Santé,272559,1,2694150,12,12,0,0,Salaire,Secondaire,Marié(e),6,0
41,M,Dakar,1,Fonctionnaire,Administration,249900,16,891164,18,32,0,0,Immobilier,Secondaire,Marié(e),0,0
38,M,Saint-Louis,1,Fonctionnaire,Administration,278172,14,1518858,18,6,0,1,Immobilier,Secondaire,Divorcé(e),4,0
38,F,Thiès,1,Fonctionnaire,Administration,645669,1,5380162,48,11,0,1,Salaire,Secondaire,Marié(e),0,0
39,M,Saint-Louis,1,Commerçant,Vêtements,873128,11,12389199,12,4,0,1,Stock,Secondaire,Marié(e),3,1
26,M,Fatick,1,Fonctionnaire,Enseignant,175140,2,2159606,6,10,0,1,Véhicule,Supérieur,Marié(e),3,0
37,F,Diourbel,0,Commerçant,Vêtements,1019653,13,2592497,18,47,0,1,Véhicule,Supérieur,Marié(e),0,0
38,F,Matam,0,Fonctionnaire,Douanes,418606,9,2021817,12,6,0,1,Véhicule,Secondaire,Marié(e),1,0
26,M,Thiès,0,Fonctionnaire,Douanes,50000,1,587875,18,0,0,1,Salaire,Supérieur,Marié(e),2,0
57,M,Saint-Louis,0,Fonctionnaire,Douanes,419404,31,5350196,12,18,0,1,Salaire,Secondaire,Célibataire,1,0
40,M,Fatick,0,Fonctionnaire,Enseignant,430414,15,2513126,36,20,0,1,Salaire,Primaire,Divorcé(e),1,0
20,F,Kaolack,0,Fonctionnaire,Douanes,232620,1,1338922,12,9,1,1,Véhicule,Secondaire,Marié(e),5,0
42,M,Kaolack,1,Fonctionnaire,Impôts,533552,16,2164275,24,24,0,1,Salaire,Supérieur,Marié(e),7,0
23,M,Dakar,1,Commerçant,Restauration,788007,2,3707802,36,0,0,1,Caution,Primaire,Célibataire,3,1
44,M,Saint-Louis,0,Fonctionnaire,Impôts,509403,21,1577208,36,9,0,0,Salaire,Secondaire,Marié(e),3,0
48,M,Thiès,0,Commerçant,Restauration,328494,26,4144596,18,3,0,0,Stock,Supérieur,Divorcé(e),2,0
25,F,Sédhiou,1,Fonctionnaire,Santé,381169,3,5277931,48,6,1,0,Salaire,Primaire,Marié(e),3,0
46,M,Thiès,0,Commerçant,Cosmétiques,555021,24,2604363,24,11,0,1,Stock,Secondaire,Marié(e),3,0
39,M,Louga,1,Commerçant,Commerce général,763080,13,11847569,6,16,0,1,Véhicule,Primaire,Marié(e),3,0
44,M,Kolda,1,Fonctionnaire,Justice,276968,19,2737525,36,2,0,1,Salaire,Supérieur,Célibataire,3,0
57,M,Thiès,1,Commerçant,Artisanat,580425,34,10980824,18,2,0,0,Stock,Secondaire,Marié(e),4,0
32,M,Kaolack,0,Fonctionnaire,Douanes,366115,8,4604800,12,26,1,1,Salaire,Secondaire,Marié(e),2,0
25,F,Kaffrine,0,Commerçant,Électronique,404923,1,7025058,24,12,0,1,Stock,Primaire,Marié(e),1,1
24,F,Louga,1,Fonctionnaire,Impôts,223827,2,2388168,24,4,0,1,Salaire,Supérieur,Marié(e),6,1
25,F,Dakar,1,Fonctionnaire,Douanes,650306,2,8282318,36,6,0,0,Salaire,Secondaire,Célibataire,2,0
34,F,Thiès,0,Fonctionnaire,Enseignant,349995,11,2523615,36,30,0,1,Salaire,Supérieur,Marié(e),1,0
39,F,Thiès,0,Commerçant,Vente tissus,527585,10,3040111,12,1,0,1,Stock,Secondaire,Marié(e),2,1
38,M,Dakar,1,Commerçant,Électronique,963851,16,17759301,12,17,0,1,Caution,Supérieur,Marié(e),2,0
44,F,Kaolack,1,Fonctionnaire,Collectivités locales,361631,11,4271596,24,10,0,1,Salaire,Primaire,Marié(e),4,0
35,F,Kédougou,1,Commerçant,Cosmétiques,1056336,13,3837301,18,40,0,1,Véhicule,Primaire,Marié(e),3,0
52,F,Saint-Louis,1,Commerçant,Restauration,658931,31,11600066,6,37,0,1,Véhicule,Secondaire,Marié(e),4,0
31,M,Ziguinchor,1,Fonctionnaire,Santé,309222,10,2222331,12,28,0,1,Véhicule,Primaire,Marié(e),4,0
65,M,Tambacounda,1,Commerçant,Transport,1209813,43,8915112,12,11,0,1,Stock,Secondaire,Célibataire,1,0
42,F,Saint-Louis,1,Commerçant,Cosmétiques,610240,18,8067155,18,23,0,1,Immobilier,Secondaire,Marié(e),1,0
24,F,Dakar,1,Commerçant,Électronique,449743,1,5502504,6,24,0,1,Stock,Primaire,Marié(e),0,0
22,F,Kolda,1,Commerçant,Artisanat,657228,1,7682088,12,9,0,0,Immobilier,Secondaire,Marié(e),2,1
40,M,Kédougou,0,Fonctionnaire,Impôts,320975,17,1944635,18,50,0,1,Salaire,Primaire,Marié(e),3,0
32,M,Kolda,0,Commerçant,Électronique,538572,6,10381474,6,100,0,1,Stock,Supérieur,Marié(e),0,0
43,M,Dakar,1,Fonctionnaire,Collectivités locales,378326,17,5448443,12,9,0,1,Immobilier,Secondaire,Marié(e),2,0
40,F,Dakar,1,Commerçant,Alimentaire,606002,16,1257405,36,38,0,1,Stock,Supérieur,Célibataire,1,0
34,M,Dakar,1,Commerçant,Bétail/Volaille,1019524,4,8238668,24,16,0,1,Véhicule,Secondaire,Célibataire,1,1
24,M,Kaolack,1,Commerçant,Vente tissus,500806,1,1412210,12,14,0,1,Stock,Secondaire,Marié(e),2,0
18,F,Ziguinchor,1,Commerçant,Restauration,518034,0,8964307,36,0,0,1,Immobilier,Secondaire,Marié(e),1,0
29,M,Dakar,1,Fonctionnaire,Impôts,455971,7,6218632,12,8,0,1,Immobilier,Primaire,Marié(e),2,0
45,F,Kaffrine,1,Fonctionnaire,Police/Gendarmerie,505953,23,4664673,18,60,1,0,Salaire,Supérieur,Marié(e),4,0
37,M,Kaolack,0,Commerçant,Électronique,286305,14,4899882,12,32,0,1,Aucune,Primaire,Marié(e),1,0
20,F,Kolda,1,Fonctionnaire,Police/Gendarmerie,243281,1,2783213,24,13,0,0,Salaire,Primaire,Marié(e),5,1
37,M,Sédhiou,1,Commerçant,Bétail/Volaille,1028326,11,11303699,12,33,0,1,Caution,Primaire,Marié(e),1,0
39,F,Dakar,1,Commerçant,Artisanat,407052,18,3479726,12,30,0,1,Stock,Supérieur,Marié(e),2,0
24,F,Louga,0,Commerçant,Vente tissus,315130,1,2140378,24,7,0,1,Caution,Supérieur,Marié(e),1,1
36,M,Dakar,1,Fonctionnaire,Enseignant,349066,12,2133892,24,4,0,1,Salaire,Primaire,Marié(e),2,0
35,M,Saint-Louis,1,Commerçant,Restauration,409472,1,4961637,18,43,0,1,Stock,Secondaire,Marié(e),1,0
21,M,Kédougou,1,Fonctionnaire,Justice,241545,1,1208137,24,36,0,1,Salaire,Secondaire,Marié(e),2,0
39,F,Louga,1,Commerçant,Transport,213029,17,1096301,18,138,1,1,Stock,Primaire,Célibataire,2,0
41,F,Diourbel,0,Commerçant,Alimentaire,728232,7,1592701,24,0,0,1,Stock,Secondaire,Marié(e),2,0
47,M,Kaolack,1,Commerçant,Vente tissus,779281,15,10161750,18,18,0,1,Véhicule,Primaire,Célibataire,3,0
47,F,Kolda,1,Fonctionnaire,Collectivités locales,725263,25,10829721,12,29,1,1,Véhicule,Secondaire,Marié(e),3,0
18,M,Kaffrine,0,Fonctionnaire,Police/Gendarmerie,356659,0,4875754,36,0,0,1,Salaire,Primaire,Célibataire,0,0
23,F,Dakar,1,Commerçant,Vente tissus,635108,1,9337622,36,29,1,1,Immobilier,Secondaire,Marié(e),4,1
41,F,Kaffrine,1,Fonctionnaire,Police/Gendarmerie,377562,14,4691700,48,3,0,1,Salaire,Primaire,Célibataire,2,0
41,M,Diourbel,1,Commerçant,Vente tissus,955241,19,9077988,18,0,0,1,Immobilier,Secondaire,Marié(e),1,0
41,M,Diourbel,1,Fonctionnaire,Douanes,353794,12,2326887,24,2,0,1,Salaire,Secondaire,Marié(e),3,1
65,M,Saint-Louis,1,Fonctionnaire,Santé,591165,43,4388536,36,11,0,1,Véhicule,Secondaire,Marié(e),2,0
41,M,Diourbel,1,Fonctionnaire,Douanes,475659,18,1891726,6,9,0,1,Immobilier,Secondaire,Célibataire,2,0
48,M,Matam,0,Fonctionnaire,Collectivités locales,192193,24,2038311,36,49,0,1,Salaire,Primaire,Marié(e),5,1
46,M,Kaolack,1,Commerçant,Artisanat,1010722,24,5202762,12,2,0,1,Véhicule,Primaire,Marié(e),3,0
42,M,Matam,0,Fonctionnaire,Santé,330457,20,4016552,6,14,0,1,Caution,Secondaire,Marié(e),1,0
31,M,Dakar,1,Commerçant,Commerce général,1149318,9,6228816,12,75,0,1,Caution,Supérieur,Marié(e),2,1
44,M,Ziguinchor,0,Commerçant,Alimentaire,1326055,18,8097200,18,16,0,1,Immobilier,Secondaire,Célibataire,3,1
25,M,Kaffrine,0,Commerçant,Vêtements,531805,4,10227408,6,3,0,1,Immobilier,Primaire,Marié(e),1,1
32,M,Kolda,1,Commerçant,Cosmétiques,917347,9,3575017,6,8,0,1,Immobilier,Secondaire,Marié(e),1,0
